微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IvFXNgrDg,#奶爸鸡汤辟谣系列#010为什么现在的员工都不怕老板了？都喜欢跳槽？是因为互联网扩散了一个人的能力吗？可以找到各种赚钱方法？可以开滴滴，做代驾，送外卖，搞快递，卖面膜吗？可以一个月赚一万八吗？不是，重复性无增值劳动对于大部分人的吸引力还是小的，再说干这些也不太可能赚到一万八。真实原因在这里：为什么现在都说95后喜欢跳槽，不好管？大家注意到没有，其实说员工喜欢跳槽不好管，很早以前就有了，不是新鲜事。稍早以前是说90后喜欢跳槽不好管，再早是说85后喜欢跳槽不好管，最早是说80后喜欢跳槽不好管，可见喜欢跳槽并不是xx后的通病特点，而是只要年轻，就会这样。因为年轻，有资本啊，现在大部分家庭父母的收入都提高，可以支撑小孩啊，当然希望多试试。年纪大了，就不敢了，并不是他们找到了喜欢的工作，人生安定下来，有了稳定事业。而是他们结婚了，生子了，生活的压力陡然变大了，不仅没有储蓄，甚至都要背负着大笔的贷款。所以只能敢怒不敢言，默默忍受。那么对企业家的启发是什么？两点：1，要么就招有经验的成熟员工，他们稳定性强，但是技能高，对薪水的期待值也高，企业主需要明白这点，要么打造商业模式，要么学会拿高额融资，2，要么就改善自己的企业氛围，建设自己的企业文化，打造团队，建立一套上进的，积极进取的，互相平等的，氛围宽松的，有干货有技术的公司制度，吸引年轻人，哪怕低薪也干的开心。煽动焦虑也讲究技巧，那什么互联网时代到了，员工能赚钱不听话了，没啥用，企业主不信，普通员工也不信。用上面的案例，可以有效做到：来，我这里有一套教你如何创业的课程，拿融资，挑合伙人，找商业模式，顶层设计，只要八万八千八百八，良心价，赶紧来买！来，我这里有一天企业内部管理课程，教你如何打造团队，建立企业制度，只要八千八百八十八，良心价，赶紧来买！来，我这里有一套理财职场课，教你如何有恃无恐，财务自由，事业自由，不用在职场上受气。中型企业主，小型企业主，大龄员工，职场新人。全部都收割到位了，经韭不息，历韭弥坚。这才是正确姿势。                原图                            ,无,2020-02-24 14:09,微博 weibo.com,397,57,42,http://wx4.sinaimg.cn/large/94900170gy1gc7gl5ypt1j20ia0ia1aj.jpg,无
IvFRelinn,这两天按照奶爸的视频在做简历，想请问大家，应届生有必要把一两个月的这种寒暑假兼职经历写在简历里吗？答：做简历分成大简历和小简历的区别：大简历就是不管页数，不管目标，把你所有拿得出手的，全部都详细包装，一一列举。小简历是指你新建几个文档，按照求职目标，把格式排好，然后把大简历里面，相关的经历复制粘贴过来。形成数个有针对性的简历。所以做简历的正确姿势是：大简历，不论目的，事无巨细，3-5页。小简历，精心编排，复制粘贴调整，1页                                ,无,2020-02-24 13:53,微博 weibo.com,576,109,67,无,无
IvFMKzS7x,这个有点触及我9年制义务教育的盲区了，想请各位网友求证下，真的做过司机和代驾的。真能赚到每个月一万八吗？ [组图共11张]原图,无,2020-02-24 13:42,iPhone 8 Plus,536,9,201,"http://ww1.sinaimg.cn/large/94900170ly1gc7fs1tthuj21pc0yi1l1.jpg,http://ww3.sinaimg.cn/large/94900170ly1gc7fs3t9opj21pc0yi7wm.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc7fs5skg2j21pc0yix6t.jpg,http://ww3.sinaimg.cn/large/94900170ly1gc7fs7mg26j21pc0yi1l2.jpg,http://ww2.sinaimg.cn/large/94900170ly1gc7fs9lt75j21pc0yi4qu.jpg,http://ww2.sinaimg.cn/large/94900170ly1gc7fsbyboej21pc0yiqv9.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc7fsfandoj21pc0yi7wm.jpg,http://ww3.sinaimg.cn/large/94900170ly1gc7fsgrjt7j21pc0yi4qu.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc7fsib45mj21pc0yihdy.jpg,http://ww2.sinaimg.cn/large/94900170ly1gc7fsk1p17j21pc0yix6t.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc7frz4ovwj21pc0yi1l2.jpg",无
IvFDwwzPy,#奶爸鸡汤辟谣系列# 009本条辟谣由热心网友代劳——图1-4为谣言部分，图5为辟谣部分。另外稍微有点脑子的人都知道现在有收入的人是体制内人员，按时发放工资，社会不是在不断加速，而是变得更加保守，编制内工作将会越来越热门，疫情结束后报考人数将会迎来近几年的最高峰值。 [组图共5张]原图,无,2020-02-24 13:19,iPhone 8 Plus,469,85,152,"http://ww4.sinaimg.cn/large/94900170ly1gc7f2gtmxpj20yi1pcwly.jpg,http://ww2.sinaimg.cn/large/94900170ly1gc7f2h2gyhj20yi1pc106.jpg,http://ww2.sinaimg.cn/large/94900170ly1gc7f2haqvoj20yi1pc45i.jpg,http://ww1.sinaimg.cn/large/94900170ly1gc7f2hhwqvj20yi1pc105.jpg,http://ww1.sinaimg.cn/large/94900170ly1gc7f7int0sj20yi5y0qv6.jpg",无
IvFwNiU9s,下一阶段重点写于丹和陈果老师的鸡汤，倒不是说辟谣，而是纠正。纠正的重点在两方面：1，是否符合逻辑，大部分鸡汤都不符合逻辑，2，是否符合现实中的常识，这是大部分鸡汤最毒害的地方，枉顾现实世界里的基本细节和可能产生的恶劣后果，没有基本的推理和预判能力，上下两张嘴皮子一翻说话特轻松，但是学生一旦去实践运用，就会产生恶劣甚至惨烈的后果。说误人子弟都是轻的。比如陈果老师鼓励学生事无巨细什么样的坏事都要向父母坦诚——她的父母都是高知，文化人。但我们的父母，都带有历史的局限性，和父母保持表面的和谐就够了，本来就不应该坦诚也绝对不能坦诚，否则会惹来大祸害，对你的人生，工作，事业，情感，婚姻和生活造成无穷无尽的烦恼。                                ,无,2020-02-24 13:03,微博 weibo.com,690,55,100,无,无
IvFoQ60Fa,#奶爸鸡汤辟谣系列# 008“这个世界上没有卖不出去的东西，只有蹩脚的推销员。”本条为假。希望大家不要神化销售人员。2C产品领域主要看品牌和设计，2B产品领域主要看技术和质量。这是所有销售员都必须承认的常识。2C就是卖给消费者，普通大众的，2B就是卖给大公司的，政府和企业单位的，所以这个世界上真的存在卖不出去的东西。如果你想打造一款新的洗发水，把宝洁联合利华PK下去，你用一支销售铁军，疯狂扫楼，扫超市，去和每家超市的老板谈，推销。你这么做，铁定完蛋，不可能卖出去的，没人信，哪怕超市老板购入了，放货架也不会有人买。正确的做法是什么？应该先开个淘宝店，找个设计师，把产品的瓶子包装设计好看点，取个好听的名字，然后联系10-100个美妆小博主，帮他们多想几个好的营销故事，什么哈佛博士退学只为了解决中国人头皮问题，什么日本匠人精神一辈子只生产一款洗发水纯天然无添加之类的，让ta们录视频给你推，引流到淘宝，瞬间就带起来，比如找推销员有太多了。2B这个技术难度比较大，涉及到专利，科研，高精尖，不是我擅长领域，比如马斯克的销售人员再牛逼，如果他的运载火箭技术不行质量不行，美国政府航天局会愿意购买？只说说我懂的：2B领域，品牌的影响也是很大的。比如说卖交换机，联想华为的交换机，其实跟IBM的没有任何区别，设计，技术，质量，其实中国人的和老外的区别不大，而且中国人卖的更便宜。但是各级省市政府在采购的时候，都认准了IBM不放，不敢买联想华为的。为啥？怕担责任。这玩意儿买回来，没故障还好，当然没故障也不可能有人表扬你。一旦出现了故障，上头肯定问责采购，为什么买这家品牌的？如果采购买的IBM，那可以理直气壮的说：哦我买的IBM，是业内最好的了，人类科技就这个水平，我也没办法。但如果采购买的联想华为，那就完了，老大一定会问：这是不是业内最好的？为什么不是业内最好的IBM的？是不是因为价格便宜？买价格便宜的货是不是因为你吃回扣了？你看，这就是品牌的力量——这一点让当年联想华为的投标和销售人员颇为头疼，最厉害最金牌的销售也非常头疼。还好，祖国强大了，华为开始也腾飞了，5G开始我们垄断，什么机器都应该买我们中国制造，IBM这种货色注定要被扫进历史的垃圾堆里，我由衷的自豪。                原图                            ,无,2020-02-24 12:43,微博 weibo.com,1215,169,106,http://wx1.sinaimg.cn/large/94900170gy1gc7e3avlv6j20hk0hkn90.jpg,无
IvFhA3Dxh,混事业还需要向大家科普一个重要常识：学历不好的人，不要试图混成大企业高管。倒不是说这绝对不可能，也有可能。但就算你学历很高，一水清华，我也不推荐你努力朝高管进发。太可惜了，总觉得有点浪费。名牌大学里的优秀毕业生代表，绝对不是什么XX大公司总裁，XX公司大总监之类的角色，不够分量。张一鸣，王兴这类人，才够分量。努力争做创造者creator，而不是追随者follower，这很重要。学历低的人就更不用说了，能力不太行，那就努力考个编制，能力强，混成个小经理也就够了，然后努力找机会，自己干，自己做生意。这比你最终晋升到高层的可能性，还要更大一些。当然如果不想晋升，只想稳定，那么就不要在企业领域混——考个编制。                                ,无,2020-02-24 12:25,微博 weibo.com,1003,139,207,无,无
IvF3fgHfq,第一印象定律，你给别人留下的第一印象，很难改，基本定型，你越努力对方越讨厌你。当然也不是完全没可能，改变第一印象的方法就是断舍离，慢慢断了联系，舍得离开，超过100天以上没有任何交流，然后突然出现，约来试试，这样重启，可能性更高一点。但要打听清楚他这段时间有没有新女友，得认命 原图,无,2020-02-24 11:50,iPhone 8 Plus,893,78,105,http://wx2.sinaimg.cn/large/94900170ly1gc7chh48vcj20u01hcgxl.jpg,无
IvEZxE7V4,一个是要学会上班摸鱼偷懒，抓紧时间小憩，努力锻炼身体健身。一个就是考个编制算了。另外这个top5房企大概率是碧桂园，入职门槛低，工作效率慢，工作氛围差，基层领导素质能力平庸，企业管理混乱，完全靠注水臃肿号称所谓前几，跟苏宁一路货色，业内精快强的企业没人瞧得起它。 原图,无,2020-02-24 11:41,iPhone 8 Plus,992,56,192,http://wx4.sinaimg.cn/large/94900170ly1gc7c5slwxtj20x00u0135.jpg,无
IvELjhWIK,当一个人对社会和企业的了解几乎全部都是来自国产电视剧和幻想时，说明这个人大学基本全部白给，完全在浪费时间和梦游，学习和社会实践都很糟糕，属于上中下的下层尾巴学生。在这种情况下，建议多找几份实习干干了解了解，多阅读商业类书籍（我们微博就有大量真实案例），进行真实的了解之后再作决定。不了解也行，那就全盘听家里的，不要相信自己的所谓“判断”，你没判断，只有幻想。                原图                            ,无,2020-02-24 11:06,iPhone 8 Plus,1531,66,216,http://wx1.sinaimg.cn/large/94900170ly1gc7b6tm8igj20yi2j8tvc.jpg,无
IvEmyxqCu,"#奶爸鸡汤辟谣系列#007如果你觉得你的公司不好你应该去建设他而不是抱怨它。本条鸡汤为假。这个话题涉及一定的敏感性，为了安全着想，请大家评论时候，把话题严格局限在商业和公司场合，不要盲目往外扩展。而且我的经验主要也是在商圈居多，别的我一窍不通。所有的公司，说白了，都是一个利益集体。一个利益集体中，每个人的工作都是明确分工定位好的，最基础的就是两类工作：做决策，做执行。每个人都是同时做这两件事，只是侧重点不同，还有权限不同。有的人只能对自己的日常小事的次序和方法做决策，有的人负责小部门工作的安排小决策，有的人负责整个部门的业绩目标考核中决策，有的人则负责整个公司的方向和重点，大决策。全世界所有一流的商学院顾问和咨询顾问，甚至不用一流，只要稍微具有一丁点常识的，都会告诉你，决定一家公司命运的，永远是决策，而不是执行。目前全世界好像还不存在任何一家公司的死亡，是因为执行做的差。ofo的死亡不是因为员工不认真干活，而是因为接受融资时乱给veto right以及怎样都找不到合适的盈利方式——决策问题，巨人大厦的负债是不是因为员工不认真干活，而是当年决定盲目扩张——决策问题，九城的倒闭不是因为员工不认真干活，而是因为当年CEO错误的估计了代理和自研的关系问题，盲目得罪暴雪，导致外部恶性竞争（丁磊参了一脚吃的满嘴流油）——还是决策问题。这里还有一个问题就是，其实大部分公司的飞黄腾达，也和执行没太大关系，主要还是跟决策有关系：IBM当年濒临倒闭，第一时间找了郭士纳当CEO，很快扭亏为盈——决策问题，巨人后来重新腾飞，是因为给自家网游找到了新型的商业模式——决策问题，联想的起势和下跌平庸，说白了就一个区别，掌门人换了——还是决策问题。一家公司的团队战斗力固然很重要，没得说。但是决策层的个人能力和眼光，彻底决定了整个公司的生死，具有真正关键性的不可替代的作用，必须要负起全部责任。想当美国第一位女总统的女孩卡莉·菲奥莉娜，在位没几年，把惠普从世界第三搞成了300开外，就是因为她为了拉拢股东，忽略长久利益只顾眼前，卖掉了优质资产，收购了庞大臃肿的劣质资产——决策问题，微软的前CEO史蒂夫鲍尔默，下台后股价飙升（一般CEO下台公司股价都会跌），干了几年老大惹得人神共愤，李开复亲自跑知乎去骂他，因为这个人的眼光真的很牛逼，成功的新兴公司一家不投，看好了收购投资的，基本买谁谁死——还是决策问题。这两个人都因为他们的错误，付出了下台的代价。现任的微软CEO，根据新闻来说干的还不错——他和鲍尔默在位的时候，公司的执行团队其实没什么变化，为什么局面截然不同？还是决策问题。所以如果你觉得你的公司不好你应该去建设他而不是抱怨它。这是一条伪命题。如果公司真的不好，说明在决策层面出现了严重问题，也就是说，决策层下达给执行团队的命令都是错的。这个时候，员工越是努力工作，公司朝着灭亡的速度就越快，譬如当年的惠普。这个逻辑最早其实是源自肯尼迪总统的那句话：Ask not what your country can do for you, ask what you can do for your country.原初的逻辑是对的，就是不要总想着社会来照顾你，你要多给社会贡献价值啊之类的。但是引申过来，觉得XX不好，不要管，不要问，埋头瞎建设就完事儿了，这个逻辑就是错的，而且逻辑重点被转移了。前者的逻辑重点是谈贡献价值，后者的逻辑重点不是谈贡献价值，而是谈忽略原因。可原因不能忽略，一旦忽略，越是努力贡献，灭亡的就越快。因此：不要老是斤斤计较薪水有多少，前景好不好，多想想自己有多少能力，能贡献多大价值——这是对的√如果你觉得你的公司不好你应该去建设他而不是抱怨它——这是错的×                原图                            ",无,2020-02-24 10:05,微博 weibo.com,1203,264,132,http://wx2.sinaimg.cn/large/94900170gy1gc6wen6e70j20xc0irk7q.jpg,无
IvAbGxKaP,求问大家推荐一些口味比较清淡的美食博主，比如粤菜、淮扬菜、鲁菜之类的美食博主，可以是吃播，探店，也可以是烹饪厨艺教程的。如果不是个人视频博主，美食节目视频也可以哈，想看看，感激！王刚师傅很好，但他做的菜都偏辣，希望能找到类似他，但是教清淡口味菜的博主，感激只要视频的up主/和博主哈，看图文根本学不会。                                ,无,2020-02-23 23:27,微博 weibo.com,1438,266,475,无,无
IvzmJqNJg,颜值高在职场是劣势不是优势已经是一条常识了。男领导想肏死你女领导想弄死你。很抱歉，这就是个残酷的等级社会，上级对下级就是压迫，不好看最多压迫劳动力，好看的那还要压榨你的性资源。所以中性化职业化打扮不显山不露水当然是最好的，不要超过上司也是基本要求。廉价套装长裤是最好的。 原图,无,2020-02-23 21:21,iPhone 8 Plus,3720,302,609,http://wx1.sinaimg.cn/large/94900170ly1gc6nft51zzj20yi0etwjt.jpg,无
Ivzkdbqq3,人生有三样东西最有害，分别是：排名，攀比，和评选。 [组图共2张]原图,无,2020-02-23 21:15,iPhone 8 Plus,900,227,95,"http://ww2.sinaimg.cn/large/94900170ly1gc6n7nw6j8j20u01hc4hw.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc6n7ocrezj20u00gvmzm.jpg",无
IvyXKw6jd,#奶爸鸡汤辟谣系列#006“比你优秀的人还比你努力”本鸡汤为真。已经有社会学调查数据显示，优秀的人就是要比一般人更努力。但普通人对这句话的理解有误。他们会认为，努力是原因，优秀是结果。这个逻辑是错误的。优秀是原因，努力才是结果。因为优秀的人做事情，可以收获到很强的成就感，所以他就会在这个领域投入越来越多的精力和智慧。学霸们为什么学习花费很多时间精力，却不觉得累？是因为他能够持续收获到正向反馈，感受到进步和开心。但如果学霸的心态是负向反馈，即非常惶恐自己的成绩排名下降，没有感受到自己在知识技能上的进步，那么这样的学霸就很容易下滑，最后一蹶不振，无数本来学习成绩好，后来变坏的学生，本质都不是智商天赋有问题，而是因为心态出现了问题。再以写微博举例，我最近有一个大爆发，比前几个月努力不少，关注量也从103马上快到109了，固然是因为我宅家里没事，不如做做微博，但更重要的是：我做这件事收获大。对于我来说，才一个月不到的涨粉，就超过了绝大部分人一年的涨粉量。很多人特别想做自媒体，特别想涨粉，特别喜欢来我这里蹭粉，但是他们本身更新的质量和数量，花费的心力投入的智慧，恐怕连我的十分之一都不到。能说这些人特别蠢笨吗？并不能。只是因为他们在这件事上，收获到的成就感和正向激励，要远远小于我的。健身变美也是同一个道理。一个残酷的事实是：最需要健身运动的，其实是胖子，但绝大部分胖子，一辈子都始终保留在胖子阶段。还有就是普通身材的人，一辈子都普通身材，没办法坚持下来健身运动。为什么？因为他们体会不到运动的成就和正面反馈，只能收获到痛苦和无进展。所以令人气愤的事实是，喜欢运动的人，在没运动前，往往身材就很好了——而且身材越好，越喜欢运动。截图是我和朱老板对这个话题的讨论，朱老板是韩国运动科学硕士毕业，曾经是专业搏击运动员（照片经由妹子同意后打码放出）。                原图                            ,无,2020-02-23 20:20,微博 weibo.com,1706,346,439,http://wx3.sinaimg.cn/large/94900170gy1gc6lobhczbj20om340k6f.jpg,无
IvyB3mnIQ,过度关注回报的人，往往都不愿意付出。主要也没那个能力，意志坚持技能都不行。 ,无,2020-02-23 19:24,微博 weibo.com,1255,277,117,无,无
Ivywb4Ocv,好几个迷惑发言，什么考上清华北大研究生会不会有前途，中科院不是985211会不会有前途。这种人自己在二三本，连班级第一都没考过，从小到大都是学渣，这辈子就不知道什么叫好好学习，什么叫擅长考试，什么叫在考试竞争排名中叱咤风云，就说这种话，也太让人讨厌了。你们跟那种幻想我能回本，中了500万怎么花的赌狗有啥区别？                                ,无,2020-02-23 19:12,微博 weibo.com,1696,69,197,无,无
Ivypy2GdO,读博士特别需要勤奋刻苦，我很奇怪为什么很多人对这条没有常识。读博的艰辛，付出，心理压力，我认为要远远超过一线工作，比销售背业绩，创业扛公司还要大的多的多。因为销售和创业失败了，可以再找份工作干，总有出路，但是读博的沉没成本特别特别特别大，加上翟博士的事情，现在特别难毕业，所以承受的压力绝不是普通人可以想象的。不适合米虫，咸鱼，懒猪之类的人来混。                原图                            ,无,2020-02-23 18:55,iPhone 8 Plus,1227,96,234,http://wx3.sinaimg.cn/large/94900170ly1gc6j5jkif2j20u00qadn7.jpg,无
IvyiVlaND,不管学校有多垃圾，只要是研究生，出来待遇都不一样。这句话对，也不对。对是因为体制内确实成立，体制内的工作特别看重学历，不同学历工作人员的工资差距很明显。一般来说本科生考上公务员只是科员待遇，而研究生考上公务员就有副科级待遇，升职相对来说也更容易。对体制外，企业来说，学历的层次不是最重要的，也就是是本科还是硕士不是最重要，学历的含金量最重要，也就是学校牌子，即是不是北清复交985啥的。学校质量一般，哪怕研究生也很难进入好的企业，好待遇更不可能。所以要不要调剂，要不要去很差的学校很落后的地域读研，要不要二战，这得看你自己未来的方向打算。                原图                            ,无,2020-02-23 18:39,iPhone 8 Plus,716,141,236,http://wx4.sinaimg.cn/large/94900170ly1gc6imwm2emj20u01hcql6.jpg,无
Ivy7wv0RI,这位集美，助人前请先自救 原图,无,2020-02-23 18:11,iPhone 8 Plus,1585,18,230,http://wx4.sinaimg.cn/large/94900170ly1gc6hybz7bhj20yi2a5axo.jpg,无
Ivy1Z8a6l, 原图,无,2020-02-23 17:57,iPhone 8 Plus,3314,31,231,http://wx3.sinaimg.cn/large/94900170ly1gc6hkbxechj20u01hcalf.jpg,无
IvwCusk2f,选择比努力重要，在大部分情况下，对于普通人来说就是一句正确而无用的屁用。因为大部分人都处于没得选，没资格选的状态。毕业工作，都是一堆垃圾offer，怎么选，选啥选？对于绝大部分人来说，只有两个人生智慧是最重要的：未雨绸缪，亡羊补牢。未雨绸缪的意思就是，就业赚钱这件事不能等，不是你平时无忧无虑，到大四才开始考虑的，因为大一就开始，什么读书，商业知识，商业思考，头脑，求职技能，实习，多管齐下。只有这样，你毕业了，或者研究生毕业了，才能有资格挑挑拣拣，有选择权。如果没有未雨绸缪，平时一片空白，快毕业了被一脚踢进求职市场的，这时候你有啥可选的？没啥可选的。只能亡羊补牢，也就是放宽心态，脚踏实地点，意识到自己没资格挑三拣四，多想想怎么结合手头资源，锻炼自己的能力价值。这两条对各个年龄段的人都适用。大家好好加油~                                ,无,2020-02-23 14:22,微博 weibo.com,1185,283,118,无,无
IvvWkylNt,亡羊补牢肯定不如一开始就走入正轨。 原图,无,2020-02-23 12:38,iPhone 8 Plus,265,11,52,http://wx2.sinaimg.cn/large/94900170ly1gc68bnc7svj20yi0hktb1.jpg,无
IvvzceaJo,奶爸你好，冒昧叨扰了，我想向您请教一个问题，我是一名大二的金融相关专业的学生，最近很纠结要不要花几万块报班考证书（家里条件一般）。想报是因为有人带着学效率要高一些，并且自己自制力一般，然后某机构还有提供一个实训机会。不想报是因为他有点贵，而且我自己也不能判断是不是被营销带节奏了，怕不值得。如果能回复我的话十分感谢，不能的话就当我在倾诉吧。（大半夜睡不着，打扰了）答：说实话自制力差的人报任何培训班都是浪费钱。我自己干培训班的，信我。花钱的痛苦只是一瞬间的，就那1周内，你会心疼，坚持学习。但是日常小事对意志力的磨损是无时无刻不在进行的，每一天都在持续。如果自制力差，妄图交钱给监督，基本没好下场。所以。。。                                ,无,2020-02-23 11:41,微博 weibo.com,692,73,178,无,无
IvvrdjDSh,发布了头条文章：《去万达当管培生，结果让我卖爆米花怎么办？》  去万达当管培生，结果让我卖爆米花怎么办？ ,无,2020-02-23 11:21,微博 weibo.com,559,174,66,无,无
Ivv5c7QmV,烦请各位学生大爷们有月经问题，或者你的朋友有月经问题，请先好好看完这条链接里的视频。我都发了很久了你们还是来问什么迷茫想找工作可是不了解不知道从何入手求指点。指点都发了很久了，我能有什么办法？月经类愚蠢问题我可以不答，但我还是好心好意汇总解答了。人不能欺负老实人，更不要拖家带口拉着一堆朋友来欺负老实人，摆明了从来不看内容不学习不阅读不思考就要当大爷伸手党。您说是吧？职场课程 | 年轻人如何找到做好职业规划，找到人生方向。 UP主：-恶魔奶爸- 职场课程 | 年轻人如何找到做好职业规划，找到人生方向            [组图共4张]    原图                            ,无,2020-02-23 10:27,iPhone 8 Plus,530,104,77,"http://ww3.sinaimg.cn/large/94900170ly1gc64j7ltrcj20u01hctn2.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc64j8i6exj20yi1pckjm.jpg,http://ww3.sinaimg.cn/large/94900170ly1gc64j9371hj20u01hcgvv.jpg,http://ww4.sinaimg.cn/large/94900170ly1gc64j9czjaj20u01hcqd1.jpg",无
Ivv4AidI9,嘲笑27岁存款两万鹤岗小哥的人，大部分都没有到27岁，也没有存款两万，当然ta们到了27岁也不会有存款两万，现在的年轻人是个什么样的消费习惯，说出这种话的人对家庭和爹妈有着怎样的依赖性我们其实都懂。。。 ,无,2020-02-23 10:26,微博 weibo.com,3454,93,610,无,无
IvuJSmvhn,现在的学生求职心态发生了变化，所有人刚毕业就想进名企。 原图,无,2020-02-23 09:35,iPhone 8 Plus,1209,399,191,http://wx2.sinaimg.cn/large/94900170ly1gc630u6sfej20yi87hx6q.jpg,无
IvusPFjzP,昨天说为什么考研人数越来越多，两大因素，一个是经济下行，一个是机构宣传。那么这个机构宣传改变的心理主要是在哪方面呢？现在的毕业生中，想进名企的越来越多。大家恐惧就业确实是在攀升，但这种恐惧就业的根源，是希望一毕业就能进名企，就能有好工作，就能稳住，不担心。这种心态在不可遏制的蔓延，形成了一种all or nothing的两极心态，即如果进不了名企，那我真的失败，拼命哭泣，干脆彻底不要工作的好，提升下学历试试？我们那个时代的毕业生，想法不太一样，大部分人都知道自己啥样，明白毕业了是进不了名企的，所以就找个普通工作干干，然后看机会跳槽，或者在普通工作岗位上干出成绩来也挺好的。但是现在这种思潮，在广大的211985双非和二三本学生中，基本见不到了。他们都说对就业非常恐惧，但恐惧的并不是“找不到工作”，工作还是很好找的。他们恐惧的是找不到“名企高薪工作”，不能一毕业就一步到位怎么办？这种心理阈值被大大拔高了，这其中没有机构的刻意营销，那是不可能的。因为我那个时代的大学老师教人，都是毕业先找份工作干干锻炼锻炼再说。我那个时候很多老师清楚自己的学生是什么德性，根本就不擅长考试学习，大部分211双非和二三本的学生，注定就根本考不上心仪的名校，基本不可能，所以毕业出路引导，主要还是偏找个工作锻炼下再说吧。现在的大学老师彻底变了，都是赶紧考研，考不上好学校你根本找不到工作彻底完了！这其中最大的推手就是机构，机构花了10年时间，培养起了1-2代的大学老师，免费帮他们宣传，大局已定。这种想法是好想法么？是好想法，但不是正常的想法。如果双非的，二三本的乃至211985的学生，在一开始求职的起点，心理阈值就和北清复交的差不多，这个其实不太现实，这会导致起点受到很多阻碍。如果你说你的终极理想，是像清华的王兴一样，成为百亿富豪，这个想法并不可笑，甚至令人尊敬。但如果你说你刚毕业后立刻的待遇，就像清华的王兴一样，又是谷歌又是微软又是BAT的请——这个就很荒诞和可笑了。第二个目标对普通院校的人来说，达到并不是绝无可能，但你得从大一开始就全方面的锻炼自己，提高技术，多找实习，多接项目，大学四年要比高三还辛苦，毕业了才有可能跟北清复交的人同台竞技。但如果你大一到大三都荒废了，对实用技能和商业知识都是零，就知道考个研究生搞搞应试教育，那是不可能毕业了就完成自己进名企的想法的，考上研毕业了也不可能。说这些并不是打击大家，重点是引出解决方案：如果你不幸没考上研究生，包括考了两三次四五次都没考上，不得不去找工作的，大概率你的大学就是荒废的，实用技能和商业知识都是零，那么你应该意识到最基本的常识：长期处于不良思潮的洗脑，你对于就业这件事的期待值是彻底错误的，就不要想着进名企好offer还高薪了。现在找份普通的工作锻炼锻炼，增加社会经验，才是正道。如果你很幸运的考上了研究生，其实也一样，大概率你的大学就是荒废的，实用技能和商业知识都是零，那么你应该意识到最基本的常识：长期处于不良思潮的洗脑，你对于就业这件事的期待值也是彻底错误的。最近已经有几十个研究生给我留言，说毕业了照样找不到工作（即期待的名企工作）。但你们比较幸运，你们刚考上，没像这些前辈一样继续浪费宝贵的研究生时间，所以希望你们的硕士生涯不仅能做到死读书读死书给导师免费打工，还要一定注意：积累商业知识，多读商业类书籍，锻炼求职技能，一定一定一定要做至少两份以上的实习。做到这个，才能基本满足你研究生毕业进名企的潜意识标准。没有这个，光有研究生学历，毕业了没戏的。希望各位不论是考上还是没考上，两三年后，都能满足各位潜意识里进名企好工作的期待。祝大家好~                原图                            ,无,2020-02-23 08:53,微博 weibo.com,194,49,25,http://wx1.sinaimg.cn/large/94900170gy1gc5mkluy4ij20dw0dwdn2.jpg,无
IvpVGCSqb,#奶爸鸡汤辟谣系列#005：狼性文化中国企业家讲狼性，有一个前提，就是给狼喂肉吃。喂肉的方法有两种：1，创始人很厉害，一开始就能拉来一大笔钱，公司有充足的投资，不愁钱，2，创始人很大方，公司盈利很稳健，愿意和员工分利。狼性主要就是360，华为，阿里，这三家公司在一开始创业，工资就是同类公司中最高的。华为甚至在2005年时候，有过拿着蛇皮口袋发钱的壮举。把狼喂饱了，才能有力气干活。百度百科的解释：狼性文化，是指将狼野性、残暴、贪婪、暴虐的特质变通为一种拚博的精神运用到事业之中，它是一种新兴先进的文化样态。但这是错的。狼性文化指的是：企业待遇高，同时工作负担重要求高。两者缺一不可，才能叫狼性。喂狼吃草，只会饿成狗，毫无战斗力。                                ,无,2020-02-22 21:20,微博 weibo.com,816,110,75,无,无
